"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/",232,0,150,156,4,351,8688,25.12
"GET","/basket.html",176,0,160,170,5,418,23388,19.06
"DELETE","/cart",195,0,210,217,7,493,0,21.11
"POST","/cart",175,5,310,323,16,807,0,18.95
"GET","/catalogue",238,0,220,227,9,578,2795,25.77
"GET","/category.html",212,0,150,163,4,408,11518,22.95
"GET","/detail.html?id=03fef6ac-1896-4ce8-bd69-b798f85c6e0b",29,0,170,174,15,347,10364,3.14
"GET","/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b",19,0,150,156,4,322,10364,2.06
"GET","/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d",22,0,150,173,16,360,10364,2.38
"GET","/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38",25,0,140,155,16,333,10364,2.71
"GET","/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b",22,0,140,147,12,325,10364,2.38
"GET","/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac",17,0,150,145,8,279,10364,1.84
"GET","/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e",24,0,120,130,4,312,10364,2.60
"GET","/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246",26,0,150,174,8,361,10364,2.81
"GET","/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e",24,0,200,195,23,378,10364,2.60
"GET","/login",220,0,350,351,40,763,13,23.82
"POST","/orders",136,19,450,463,68,1184,605,14.72
"None","Total",1792,24,210,238,4,1184,6406,194.02
