"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /",587,330,360,390,430,470,520,850,960,1164
"GET /basket.html",587,340,370,400,420,460,500,650,910,993
"DELETE /cart",601,460,520,540,570,660,740,840,960,1187
"POST /cart",563,670,730,780,820,880,980,1100,1100,1344
"GET /catalogue",588,480,510,540,550,640,690,800,950,1172
"GET /category.html",602,330,370,410,420,480,570,610,670,857
"GET /detail.html?id=03fef6ac-1896-4ce8-bd69-b798f85c6e0b",68,370,410,450,460,500,530,870,1000,998
"GET /detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b",70,330,360,380,390,440,520,580,650,653
"GET /detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d",61,360,400,430,450,500,510,530,540,541
"GET /detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38",77,330,350,390,410,460,560,570,910,910
"GET /detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b",69,380,410,450,490,550,590,900,940,944
"GET /detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac",77,340,370,410,420,490,580,640,960,962
"GET /detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e",60,350,410,430,440,520,560,660,890,891
"GET /detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246",62,330,370,380,400,450,500,620,990,991
"GET /detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e",58,340,400,410,470,560,620,880,940,940
"GET /login",597,710,780,830,870,1000,1200,1300,1400,1598
"POST /orders",471,1000,1100,1200,1200,1400,1700,1800,1900,2078
"Total",5198,440,550,650,710,890,1100,1300,1400,2078
